         N     length    maximum     second
      1190         76       9232        595 even
      1192         27       1192        596 even
      1193        102      39364       3580 odd
      1196        120       9232        598 even
      1198        120       9232        599 even
      1199         71      12148       3598 odd
      1201         58       4372       3604 odd
      1202         58       4372        601 even
      1204         19       1204        602 even
      1205         19       3616       3616 odd
      1208         19       1208        604 even
      1210         19       1816        605 even
      1211         71      39364       3634 odd
      1214         45       9232        607 even
      1216         27       1216        608 even
      1217        133       9232       3652 odd
      1220         40       1220        610 even
      1222         40       2752        611 even
      1223        133       9232       3670 odd
      1225        133       9232       3676 odd
      1226         40       1840        613 even
      1228         40       1384        614 even
      1229         40       3688       3688 odd
      1232         27       1232        616 even
      1234        133       9232        617 even
      1235        133       9232       3706 odd
      1238        133       9232        619 even
      1240         89       9232        620 even
      1241         40       4192       3724 odd
      1244         89       9232        622 even
      1246        133       9232        623 even
      1247        133      18952       3742 odd
      1250         27       1876        625 even
      1252        133       9232        626 even
      1253        133       9232       3760 odd
      1255         89      14308       3766 odd
      1256         40       1256        628 even
      1258         40       1888        629 even
      1259         84       8080       3778 odd
      1262         40       4264        631 even
      1264         40       1264        632 even
      1265         40       3796       3796 odd
      1268         40       1268        634 even
      1270         32       3220        635 even
      1271         32       8584       3814 odd
      1274         58       9232        637 even
      1276         58       9232        638 even
      1277         58       9232       3832 odd
      1280         14       1280        640 even
      1282         53       2752        641 even
      1283         53       5776       3850 odd
      1286         27       2896        643 even
      1288        102       9232        644 even
      1289        146       9232       3868 odd
      1291         53       5812       3874 odd
      1292        102       9232        646 even
      1294         40       4372        647 even
      1295         40      13120       3886 odd
      1298        146       9232        649 even
      1300         27       1300        650 even
      1301         27       3904       3904 odd
      1304         27       1304        652 even
      1306         27       1960        653 even
      1307        177     190996       3922 odd
      1309        146       9232       3928 odd
      1310        146       9232        655 even
      1312        115       9232        656 even
      1313         27       3940       3940 odd
      1316         53       1672        658 even
      1318         53       2968        659 even
      1319        146      10024       3958 odd
      1322        115       9232        661 even
      1324         27       1492        662 even
      1325         27       3976       3976 odd
      1328        115       9232        664 even
      1330         53       2248        665 even
      1331         53       5992       3994 odd
      1333        115       9232       4000 odd
      1334        146      21688        667 even
      1336         71       9232        668 even
      1337         45       8584       4012 odd
      1340         71       9232        670 even
      1342         97      39364        671 even
      1343         97      39364       4030 odd
      1346         66       2752        673 even
      1348        115       9232        674 even
      1349        115       9232       4048 odd
      1352         53       4372        676 even
      1354         53       4372        677 even
      1355        115       9232       4066 odd
      1358         66       5812        679 even
      1360         14       1360        680 even
      1361         53      13120       4084 odd
      1363         66      39364       4090 odd
      1364         14       1364        682 even
      1366         40       3076        683 even
      1367         40       9232       4102 odd
      1370        128       9232        685 even
      1372        128       9232        686 even
      1373        128       9232       4120 odd
      1376         35       1376        688 even
      1378        128       9232        689 even
      1379        128       9232       4138 odd
      1382        128       9232        691 even
      1384         35       1384        692 even
      1385         66      10528       4156 odd
      1388        128       9232        694 even
      1390        128       9232        695 even
      1391        115      15856       4174 odd
      1394        128       9232        697 even
      1396         35       1396        698 even
      1397         35       4192       4192 odd
      1400         84       9232        700 even
      1402         84       9232        701 even
      1403        128       9232       4210 odd
      1406        172     250504        703 even
      1408         22       1408        704 even
      1409         84       9232       4228 odd
      1412        128       9232        706 even
      1414        128       9232        707 even
      1415         35       9556       4246 odd
      1417         79       8080       4252 odd
      1418         35       2128        709 even
      1420         35       1600        710 even
      1421         35       4264       4264 odd
      1424         35       1424        712 even
      1426         27       3616        713 even
      1427         27       6424       4282 odd
      1430         27       3220        715 even
      1432         35       1432        716 even
      1433         27       4840       4300 odd
      1436         53       9232        718 even
      1438         53       9232        719 even
      1439        128      41524       4318 odd
      1442         48       2164        721 even
      1444         48       2752        722 even
      1445         48       4336       4336 odd
      1448         22       1448        724 even
      1450         22       2176        725 even
      1451        141       9232       4354 odd
      1453         48       4360       4360 odd
      1454         48       4912        727 even
      1456         97       9232        728 even
      1457         35       4372       4372 odd
      1460         97       9232        730 even
      1462        141       9232        731 even
      1463        141       9880       4390 odd
      1466         97       9232        733 even
      1468         48       4192        734 even
      1469         48       4408       4408 odd
      1471        172     190996       4414 odd
      1472         22       1472        736 even
      1474        141       9232        737 even
      1475        141       9232       4426 odd
      1478         22       3328        739 even
      1480         48       1480        740 even
      1481         35       7504       4444 odd
      1484         48       1672        742 even
      1486         97      14308        743 even
      1487         97      15064       4462 odd
      1490         92       8080        745 even
      1492         22       1492        746 even
      1493         22       4480       4480 odd
      1496         48       1496        748 even
      1498         48       2248        749 even
      1499         48      11392       4498 odd
      1502        141      21688        751 even
      1504        110       9232        752 even
      1505         40       8584       4516 odd
      1510         66       9232        755 even
      1511         92      39364       4534 odd
      1516         61       2752        758 even
      1520        110       9232        760 even
      1522         35       2896        761 even
      1525        110       9232       4576 odd
      1528         48       4372        764 even
      1529         61       5812       4588 odd
      1532         48      13120        766 even
      1534         61      39364        767 even
      1538         35       2308        769 even
      1540         35       1540        770 even
      1546        123       9232        773 even
      1547         35       6964       4642 odd
      1549        123       9232       4648 odd
      1552        123       9232        776 even
      1556        123       9232        778 even
      1558         61       3508        779 even
      1559         61      10528       4678 odd
      1564        123       9232        782 even
      1565        123       9232       4696 odd
      1570        123       9232        785 even
      1574         61       3544        787 even
      1576         30       1576        788 even
      1579        123       9232       4738 odd
      1582         79       9232        791 even
      1583        167     250504       4750 odd
      1586         79       9232        793 even
      1588         30       1588        794 even
      1592        123       9232        796 even
      1594        123       9232        797 even
      1595         74       8080       4786 odd
      1600         30       1600        800 even
      1601         61       4804       4804 odd
      1606         22       3616        803 even
      1610         22       2416        805 even
      1612         22       1816        806 even
      1613         22       4840       4840 odd
      1615         74      39364       4846 odd
      1618         48       9232        809 even
      1619         48       9232       4858 odd
      1624         43       1624        812 even
      1628         43       2752        814 even
      1630        136       9232        815 even
      1633        136       9232       4900 odd
      1636         43       1636        818 even
      1637         43       4912       4912 odd
      1640         30       1640        820 even
      1642         30       2464        821 even
      1646        136       9232        823 even
      1648         92       9232        824 even
      1654         43       4192        827 even
      1655         43      11176       4966 odd
      1660        136       9232        830 even
      1664         17       1664        832 even
      1666         30       2500        833 even
      1667         30       7504       5002 odd
      1672         43       1672        836 even
      1673         92      14308       5020 odd
      1678         87       8080        839 even
      1682         43       4264        841 even
      1684         43       1684        842 even
      1687         43      11392       5062 odd
      1690         43       2536        845 even
      1691        136      21688       5074 odd
      1694         35       8584        847 even
      1696         17       1696        848 even
      1700         61       9232        850 even
      1702         61       9232        851 even
      1708         56       2752        854 even
      1709         56       5128       5128 odd
      1714         30       2896        857 even
      1718        149       9232        859 even
      1720        105       9232        860 even
      1721         56       5812       5164 odd
      1726         43      13120        863 even
      1727         56      39364       5182 odd
      1732         30       1732        866 even
      1736         30       1736        868 even
      1738         30       2608        869 even
      1741         30       5224       5224 odd
      1744        118       9232        872 even
      1745        149       9232       5236 odd
      1750         30       3940        875 even
      1754         56       2632        877 even
      1756         56       2968        878 even
      1762        118       9232        881 even
      1763        118       9232       5290 odd
      1768        118       9232        884 even
      1772         56       2248        886 even
      1774         56       5992        887 even
      1777        118       9232       5332 odd
      1780         74       9232        890 even
      1781         74       9232       5344 odd
      1786         74       9232        893 even
      1790        100      39364        895 even
      1792         25       1792        896 even
      1795         69       8080       5386 odd
      1798        118       9232        899 even
      1799         69      12148       5398 odd
      1802         56       4372        901 even
      1804         56       4372        902 even
      1808         17       1808        904 even
      1810         69       5812        905 even
      1816         17       1816        908 even
      1817         69      39364       5452 odd
      1822         43       9232        911 even
      1826        131       9232        913 even
      1828        131       9232        914 even
      1834         38       2752        917 even
      1835        131       9232       5506 odd
      1838        131       9232        919 even
      1840         38       1840        920 even
      1844         38       1844        922 even
      1846         69      10528        923 even
      1852        131       9232        926 even
      1853        131       9232       5560 odd
      1858        131       9232        929 even
      1862         38       4192        931 even
      1864         87       9232        932 even
      1870        131       9232        935 even
      1871        131      18952       5614 odd
      1876         25       1876        938 even
      1880        131       9232        940 even
      1882        131       9232        941 even
      1883         87      14308       5650 odd
      1888         38       1888        944 even
      1889         82       8080       5668 odd
      1894         38       4264        947 even
      1898         38       2848        949 even
      1900         30       3616        950 even
      1903        131      21688       5710 odd
      1906         30       3220        953 even
      1907         30       8584       5722 odd
      1912         56       9232        956 even
      1916         56       9232        958 even
      1918        131      41524        959 even
      1924         51       2752        962 even
      1925         51       5776       5776 odd
      1930         25       2896        965 even
      1934        144       9232        967 even
      1936        100       9232        968 even
      1937         51       5812       5812 odd
      1942         38       4372        971 even
      1943         38      13120       5830 odd
      1948        144       9232        974 even
      1952         25       1952        976 even
      1954        100       9232        977 even
      1960         25       1960        980 even
      1961        175     190996       5884 odd
      1964        144       9232        982 even
      1966        144       9232        983 even
      1970         25       3328        985 even
      1972         51       1972        986 even
      1978         51       2968        989 even
      1979        144      10024       5938 odd
      1982        100      15064        991 even
      1984        113       9232        992 even
      1988         25       1988        994 even
      1990         25       4480        995 even
      1996         51       2248        998 even
      1997         51       5992       5992 odd
      2000        113       9232       1000 even
      2002        144      21688       1001 even
      2006         43       8584       1003 even
      2008         69       9232       1004 even
      2014         95      39364       1007 even
      2015         95      39364       6046 odd
      2020         64       2752       1010 even
      2024        113       9232       1012 even
      2026        113       9232       1013 even
      2032         51       4372       1016 even
      2033        113       9232       6100 odd
      2038         64       5812       1019 even
      2042         51      13120       1021 even
      2044         64      39364       1022 even
      2045         64      39364       6136 odd
      2048         12       2048       1024 power of two
      2050         38       3076       1025 even
      2051         38       9232       6154 odd
      2056        126       9232       1028 even
      2060        126       9232       1030 even
      2062         38       6964       1031 even
      2065        126       9232       6196 odd
      2068        126       9232       1034 even
      2069        126       9232       6208 odd
      2074        126       9232       1037 even
      2078         64      10528       1039 even
      2080         33       2080       1040 even
      2086        126       9232       1043 even
      2087        113      15856       6262 odd
      2092        126       9232       1046 even
      2096         33       2096       1048 even
      2098         64       3544       1049 even
      2104         82       9232       1052 even
      2105        126       9232       6316 odd
      2110        170     250504       1055 even
      2114         82       9232       1057 even
      2116         33       2116       1058 even
      2119         82      14308       6358 odd
      2122        126       9232       1061 even
      2123         33       9556       6370 odd
      2125        126       9232       6376 odd
      2126         77       8080       1063 even
      2128         33       2128       1064 even
      2132         33       2132       1066 even
      2134         64       4804       1067 even
      2140         25       3616       1070 even
      2141         25       6424       6424 odd
      2146         25       3220       1073 even
      2150         25       4840       1075 even
      2152         33       2152       1076 even
      2153         77      39364       6460 odd
      2158         51       9232       1079 even
      2159        126      41524       6478 odd
      2164         46       2164       1082 even
      2168         46       2752       1084 even
      2170         46       3256       1085 even
      2176         20       2176       1088 even
      2177        139       9232       6532 odd
      2180         46       2180       1090 even
      2182         46       4912       1091 even
      2186         33       3280       1093 even
      2188         33       2464       1094 even
      2194        139       9232       1097 even
      2195        139       9880       6586 odd
      2200         95       9232       1100 even
      2204         46       4192       1102 even
      2206         46      11176       1103 even
      2207        170     190996       6622 odd
      2212        139       9232       1106 even
      2213        139       9232       6640 odd
      2218         20       3328       1109 even
      2222         33       7504       1111 even
      2224         46       2224       1112 even
      2227        139      10024       6682 odd
      2230         95      14308       1115 even
      2231         95      15064       6694 odd
      2236         90       8080       1118 even
      2240         20       2240       1120 even
      2242         46       4264       1121 even
      2248         46       2248       1124 even
      2249         46      11392       6748 odd
      2254        139      21688       1127 even
      2258         38       8584       1129 even
      2260         20       2260       1130 even
      2266         64       9232       1133 even
      2267         90      39364       6802 odd
      2272        108       9232       1136 even
      2278         59       5128       1139 even
      2284         33       2896       1142 even
      2287        121     250504       6862 odd
      2288        108       9232       1144 even
      2290        152       9232       1145 even
      2294         59       5812       1147 even
      2296         46       4372       1148 even
      2302         59      39364       1151 even
      2308         33       2308       1154 even
      2314         33       3472       1157 even
      2320        121       9232       1160 even
      2321         33       6964       6964 odd
      2324        121       9232       1162 even
      2326        152       9232       1163 even
      2332         33       3940       1166 even
      2338         59       3508       1169 even
      2339         59      10528       7018 odd
      2344        121       9232       1172 even
      2348        121       9232       1174 even
      2350        121       9232       1175 even
      2356        121       9232       1178 even
      2362         59       3544       1181 even
      2368         28       2368       1184 even
      2369        121       9232       7108 odd
      2374         77       9232       1187 even
      2375        165     250504       7126 odd
      2380         77       9232       1190 even
      2386        103      39364       1193 even
      2389         28       7168       7168 odd
      2392        121       9232       1196 even
      2393         72       8080       7180 odd
      2398         72      12148       1199 even
      2402         59       4372       1201 even
      2404         59       4372       1202 even
      2410         20       3616       1205 even
      2416         20       2416       1208 even
      2420         20       2420       1210 even
      2422         72      39364       1211 even
      2423         72      39364       7270 odd
      2428         46       9232       1214 even
      2429         46       9232       7288 odd
      2434        134       9232       1217 even
      2440         41       2440       1220 even
      2446        134       9232       1223 even
      2450        134       9232       1225 even
      2452         41       2452       1226 even
      2456         41       2456       1228 even
      2458         41       3688       1229 even
      2464         28       2464       1232 even
      2470        134       9232       1235 even
      2476        134       9232       1238 even
      2482         41       4192       1241 even
      2483         41      11176       7450 odd
      2488         90       9232       1244 even
      2494        134      18952       1247 even
      2500         28       2500       1250 even
      2501         28       7504       7504 odd
      2506        134       9232       1253 even
      2510         90      14308       1255 even
      2512         41       2512       1256 even
      2518         85       8080       1259 even
      2524         41       4264       1262 even
      2530         41       3796       1265 even
      2531         41      11392       7594 odd
      2536         41       2536       1268 even
      2537        134      21688       7612 odd
      2542         33       8584       1271 even
      2548         59       9232       1274 even
      2551         85      39364       7654 odd
      2554         59       9232       1277 even
      2560         15       2560       1280 even
      2564         54       2752       1282 even
      2566         54       5776       1283 even
      2572         28       2896       1286 even
      2578        147       9232       1289 even
      2582         54       5812       1291 even
      2584        103       9232       1292 even
      2590         41      13120       1295 even
      2591         54      39364       7774 odd
      2596        147       9232       1298 even
      2602         28       3904       1301 even
      2608         28       2608       1304 even
      2612         28       2612       1306 even
      2614        178     190996       1307 even
      2618        147       9232       1309 even
      2620        147       9232       1310 even
      2626         28       3940       1313 even
      2632         54       2632       1316 even
      2638        147      10024       1319 even
      2644        116       9232       1322 even
      2645        116       9232       7936 odd
      2650         28       3976       1325 even
      2656        116       9232       1328 even
      2662         54       5992       1331 even
      2666        116       9232       1333 even
      2668        147      21688       1334 even
      2672         72       9232       1336 even
      2674         46       8584       1337 even
      2680         72       9232       1340 even
      2683         72      13588       8050 odd
      2686         98      39364       1343 even
      2692         67       2752       1346 even
      2693         67       8080       8080 odd
      2698        116       9232       1349 even
      2699         67      12148       8098 odd
      2704         54       4372       1352 even
      2710        116       9232       1355 even
      2711        116      18304       8134 odd
      2716         67       5812       1358 even
      2722         54      13120       1361 even
      2726         67      39364       1363 even
      2728         15       2728       1364 even
      2734         41       9232       1367 even
      2740        129       9232       1370 even
      2746        129       9232       1373 even
      2752         36       2752       1376 even
      2753        129       9232       8260 odd
      2758        129       9232       1379 even
      2764        129       9232       1382 even
      2768         36       2768       1384 even
      2770         67      10528       1385 even
      2776        129       9232       1388 even
      2780        129       9232       1390 even
      2782        116      15856       1391 even
      2788        129       9232       1394 even
      2794         36       4192       1397 even
      2800         85       9232       1400 even
      2806        129       9232       1403 even
      2807        129      18952       8422 odd
      2812        173     250504       1406 even
      2818         85       9232       1409 even
      2824        129       9232       1412 even
      2825         85      14308       8476 odd
      2830         36       9556       1415 even
      2834         80       8080       1417 even
      2836         36       2836       1418 even
      2842         36       4264       1421 even
      2848         36       2848       1424 even
      2854         28       6424       1427 even
      2855        129      21688       8566 odd
      2860         28       3220       1430 even
      2861         28       8584       8584 odd
      2866         28       4840       1433 even
      2872         54       9232       1436 even
      2878        129      41524       1439 even
      2884         49       2884       1442 even
      2888         49       2888       1444 even
      2890         49       4336       1445 even
      2896         23       2896       1448 even
      2902        142       9232       1451 even
      2906         49       4360       1453 even
      2908         49       4912       1454 even
      2914         36       4372       1457 even
      2915         36      13120       8746 odd
      2920         98       9232       1460 even
      2926        142       9880       1463 even
      2932         98       9232       1466 even
      2938         49       4408       1469 even
      2942        173     190996       1471 even
      2944         23       2944       1472 even
      2950        142       9232       1475 even
      2956         23       3328       1478 even
      2962         36       7504       1481 even
      2968         49       2968       1484 even
      2969        142      10024       8908 odd
      2974         98      15064       1487 even
      2980         93       8080       1490 even
      2986         23       4480       1493 even
      2992         49       2992       1496 even
      2996         49       2996       1498 even
      2998         49      11392       1499 even
      3004        142      21688       1502 even
      3007        155     250504       9022 odd
      3010         41       8584       1505 even
      3019         67      13588       9058 odd
      3022         93      39364       1511 even
      3023         93      39364       9070 odd
      3037         62       9112       9112 odd
      3040        111       9232       1520 even
      3050        111       9232       1525 even
      3058         62       5812       1529 even
      3064         49      13120       1532 even
      3068         62      39364       1534 even
      3076         36       3076       1538 even
      3077         36       9232       9232 odd
      3094         36       6964       1547 even
      3098        124       9232       1549 even
      3104        124       9232       1552 even
      3112        124       9232       1556 even
      3118         62      10528       1559 even
      3130        124       9232       1565 even
      3131        111      15856       9394 odd
      3148         62       3544       1574 even
      3158        124       9232       1579 even
      3166        168     250504       1583 even
      3172         80       9232       1586 even
      3179         80      14308       9538 odd
      3184        124       9232       1592 even
      3185         31       9556       9556 odd
      3188        124       9232       1594 even
      3190         75       8080       1595 even
      3202         62       4804       1601 even
      3212         23       3616       1606 even
      3220         23       3220       1610 even
      3226         23       4840       1613 even
      3230         75      39364       1615 even
      3238         49       9232       1619 even
      3239        124      41524       9718 odd
      3256         44       3256       1628 even
      3266        137       9232       1633 even
      3274         44       4912       1637 even
      3280         31       3280       1640 even
      3292        137       9232       1646 even
      3293        137       9880       9880 odd
      3310         44      11176       1655 even
      3311        168     190996       9934 odd
      3320        137       9232       1660 even
      3328         18       3328       1664 even
      3334         31       7504       1667 even
      3341        137      10024      10024 odd
      3346         93      14308       1673 even
      3347         93      15064      10042 odd
      3349         44      10048      10048 odd
      3364         44       4264       1682 even
      3374         44      11392       1687 even
      3382        137      21688       1691 even
      3388         36       8584       1694 even
      3397         62      10192      10192 odd
      3400         62       9232       1700 even
      3401         88      39364      10204 odd
      3418         57       5128       1709 even
      3431        119     250504      10294 odd
      3436        150       9232       1718 even
      3442         57       5812       1721 even
      3454         57      39364       1727 even
      3472         31       3472       1736 even
      3482         31       5224       1741 even
      3490        150       9232       1745 even
      3508         57       3508       1754 even
      3509         57      10528      10528 odd
      3523        106      15856      10570 odd
      3526        119       9232       1763 even
      3544         57       3544       1772 even
      3554        119       9232       1777 even
      3562         75       9232       1781 even
      3563        163     250504      10690 odd
      3577         75      13588      10732 odd
      3580        101      39364       1790 even
      3584         26       3584       1792 even
      3590         70       8080       1795 even
      3598         70      12148       1799 even
      3604         57       4372       1802 even
      3616         18       3616       1808 even
      3634         70      39364       1817 even
      3635         70      39364      10906 odd
      3644         44       9232       1822 even
      3652        132       9232       1826 even
      3670        132       9232       1835 even
      3676        132       9232       1838 even
      3688         39       3688       1844 even
      3706        132       9232       1853 even
      3724         39       4192       1862 even
      3725         39      11176      11176 odd
      3742        132      18952       1871 even
      3752         26       3752       1876 even
      3760        132       9232       1880 even
      3766         88      14308       1883 even
      3778         83       8080       1889 even
      3796         39       3796       1898 even
      3797         39      11392      11392 odd
      3806        132      21688       1903 even
      3814         31       8584       1907 even
      3827         83      39364      11482 odd
      3832         57       9232       1916 even
      3850         52       5776       1925 even
      3868        145       9232       1934 even
      3874         52       5812       1937 even
      3886         39      13120       1943 even
      3887         52      39364      11662 odd
      3893        101      11680      11680 odd
      3904         26       3904       1952 even
      3922        176     190996       1961 even
      3928        145       9232       1964 even
      3940         26       3940       1970 even
      3958        145      10024       1979 even
      3964        101      15064       1982 even
      3968        114       9232       1984 even
      3976         26       3976       1988 even
      3994         52       5992       1997 even
      4000        114       9232       2000 even
      4009        158     250504      12028 odd
      4012         44       8584       2006 even
      4025         70      13588      12076 odd
      4030         96      39364       2015 even
      4040         65       4040       2020 even
      4048        114       9232       2024 even
      4049         65      12148      12148 odd
      4066        114       9232       2033 even
      4067        114      18304      12202 odd
      4084         52      13120       2042 even
      4090         65      39364       2045 even
      4096         13       4096       2048 power of two
      4102         39       9232       2051 even
      4120        127       9232       2060 even
      4130        127       9232       2065 even
      4138        127       9232       2069 even
      4156         65      10528       2078 even
      4174        114      15856       2087 even
      4192         34       4192       2096 even
      4210        127       9232       2105 even
      4211        127      18952      12634 odd
      4228         83       9232       2114 even
      4238         83      14308       2119 even
      4246         34       9556       2123 even
      4250        127       9232       2125 even
      4252         78       8080       2126 even
      4264         34       4264       2132 even
      4282         26       6424       2141 even
      4283        127      21688      12850 odd
      4292         26       4292       2146 even
      4300         26       4840       2150 even
      4306         78      39364       2153 even
      4318        127      41524       2159 even
      4336         47       4336       2168 even
      4354        140       9232       2177 even
      4360         47       4360       2180 even
      4372         34       4372       2186 even
      4373         34      13120      13120 odd
      4390        140       9880       2195 even
      4408         47       4408       2204 even
      4414        171     190996       2207 even
      4426        140       9232       2213 even
      4444         34       7504       2222 even
      4454        140      10024       2227 even
      4462         96      15064       2231 even
      4465         47      13396      13396 odd
      4480         21       4480       2240 even
      4498         47      11392       2249 even
      4511        153     250504      13534 odd
      4516         39       8584       2258 even
      4529         65      13588      13588 odd
      4534         91      39364       2267 even
      4535         91      39364      13606 odd
      4556         60       5128       2278 even
      4574        122     250504       2287 even
      4576        109       9232       2288 even
      4588         60       5812       2294 even
      4616         34       4616       2308 even
      4642         34       6964       2321 even
      4648        122       9232       2324 even
      4678         60      10528       2339 even
      4696        122       9232       2348 even
      4697        109      15856      14092 odd
      4703         60      71440      14110 odd
      4738        122       9232       2369 even
      4750        166     250504       2375 even
      4769         78      14308      14308 odd
      4778         29       7168       2389 even
      4786         73       8080       2393 even
      4804         60       4804       2402 even
      4819        122      21688      14458 odd
      4840         21       4840       2420 even
      4846         73      39364       2423 even
      4858         47       9232       2429 even
      4859        122      41524      14578 odd
      4900        135       9232       2450 even
      4912         42       4912       2456 even
      4940        135       9232       2470 even
      4966         42      11176       2483 even
      4967        166     190996      14902 odd
      5002         29       7504       2501 even
      5012        135       9232       2506 even
      5020         91      14308       2510 even
      5021         91      15064      15064 odd
      5024         42       5024       2512 even
      5062         42      11392       2531 even
      5074        135      21688       2537 even
      5096         60       9232       2548 even
      5102         86      39364       2551 even
      5128         55       5128       2564 even
      5147        117     250504      15442 odd
      5164         55       5812       2582 even
      5182         55      39364       2591 even
      5224         29       5224       2612 even
      5236        148       9232       2618 even
      5264         55       5264       2632 even
      5285        104      15856      15856 odd
      5290        117       9232       2645 even
      5332        117       9232       2666 even
      5344         73       9232       2672 even
      5345        161     250504      16036 odd
      5366         73      13588       2683 even
      5386         68       8080       2693 even
      5398         68      12148       2699 even
      5422        117      18304       2711 even
      5452         68      39364       2726 even
      5453         68      39364      16360 odd
      5467        117      41524      16402 odd
      5506        130       9232       2753 even
      5536         37       5536       2768 even
      5560        130       9232       2780 even
      5588         37       5588       2794 even
      5614        130      18952       2807 even
      5650         86      14308       2825 even
      5668         81       8080       2834 even
      5696         37       5696       2848 even
      5710        130      21688       2855 even
      5722         29       8584       2861 even
      5741         81      39364      17224 odd
      5776         50       5776       2888 even
      5791        112     250504      17374 odd
      5812         50       5812       2906 even
      5830         37      13120       2915 even
      5831         50      39364      17494 odd
      5840         99       9232       2920 even
      5884        174     190996       2942 even
      5938        143      10024       2969 even
      5992         50       5992       2996 even
      6014        156     250504       3007 even
      6038         68      13588       3019 even
      6046         94      39364       3023 even
      6074         63       9112       3037 even
      6100        112       9232       3050 even
      6101        112      18304      18304 odd
      6136         63      39364       3068 even
      6151        112      41524      18454 odd
      6154         37       9232       3077 even
      6196        125       9232       3098 even
      6208        125       9232       3104 even
      6262        112      15856       3131 even
      6316        125       9232       3158 even
      6317        125      18952      18952 odd
      6358         81      14308       3179 even
      6370         32       9556       3185 even
      6376        125       9232       3188 even
      6424         24       6424       3212 even
      6425        125      21688      19276 odd
      6460         76      39364       3230 even
      6478        125      41524       3239 even
      6532        138       9232       3266 even
      6560         32       6560       3280 even
      6586        138       9880       3293 even
      6622        169     190996       3311 even
      6640        138       9232       3320 even
      6682        138      10024       3341 even
      6694         94      15064       3347 even
      6698         45      10048       3349 even
      6715        138      34000      20146 odd
      6748         45      11392       3374 even
      6767        151     250504      20302 odd
      6794         63      10192       3397 even
      6802         89      39364       3401 even
      6803         89      39364      20410 odd
      6862        120     250504       3431 even
      6964         32       6964       3482 even
      7018         58      10528       3509 even
      7046        107      15856       3523 even
      7055         58      71440      21166 odd
      7108        120       9232       3554 even
      7126        164     250504       3563 even
      7154         76      13588       3577 even
      7168         27       7168       3584 even
      7180         71       8080       3590 even
      7229        120      21688      21688 odd
      7270         71      39364       3635 even
      7288         45       9232       3644 even
      7289        120      41524      21868 odd
      7381         40      22144      22144 odd
      7450         40      11176       3725 even
      7451        164     190996      22354 odd
      7504         27       7504       3752 even
      7532         89      14308       3766 even
      7555        133      34000      22666 odd
      7594         40      11392       3797 even
      7612        133      21688       3806 even
      7654         84      39364       3827 even
      7721        115     250504      23164 odd
      7774         53      39364       3887 even
      7786        102      11680       3893 even
      7928        102      15064       3964 even
      7936        115       9232       3968 even
      8018        159     250504       4009 even
      8050         71      13588       4025 even
      8080         66       8080       4040 even
      8098         66      12148       4049 even
      8134        115      18304       4067 even
      8180         66      39364       4090 even
      8192         14       8192       4096 power of two
      8201        115      41524      24604 odd
      8260        128       9232       4130 even
      8383        159     190996      25150 odd
      8422        128      18952       4211 even
      8476         84      14308       4238 even
      8500        128       9232       4250 even
      8566        128      21688       4283 even
      8584         27       8584       4292 even
      8612         79      39364       4306 even
      8687        110     250504      26062 odd
      8746         35      13120       4373 even
      8747         48      39364      26242 odd
      8807         79     150496      26422 odd
      8908        141      10024       4454 even
      8930         48      13396       4465 even
      8953        141      34000      26860 odd
      9022        154     250504       4511 even
      9058         66      13588       4529 even
      9070         92      39364       4535 even
      9112         61       9112       4556 even
      9148        123     250504       4574 even
      9152        110       9232       4576 even
      9227        110      41524      27682 odd
      9232         35       9232       4616 even
      9394        110      15856       4697 even
      9406         61      71440       4703 even
      9476        123       9476       4738 even
      9538         79      14308       4769 even
      9556         30       9556       4778 even
      9638        123      21688       4819 even
      9718        123      41524       4859 even
      9841         43      29524      29524 odd
      9880        136       9880       4940 even
      9934        167     190996       4967 even
     10024        136      10024       5012 even
     10042         92      15064       5021 even
     10048         43      10048       5024 even
     10073        136      34000      30220 odd
     10151        149     250504      30454 odd
     10192         61      10192       5096 even
     10204         87      39364       5102 even
     10205         87      39364      30616 odd
     10294        118     250504       5147 even
     10381        105      31144      31144 odd
     10528         56      10528       5264 even
     10570        105      15856       5285 even
     10583         56      71440      31750 odd
     10690        162     250504       5345 even
     10732         74      13588       5366 even
     10844        118      18304       5422 even
     10906         69      39364       5453 even
     10934        118      41524       5467 even
     11072         38      11072       5536 even
     11176         38      11176       5588 even
     11177        162     190996      33532 odd
     11333        131      34000      34000 odd
     11392         38      11392       5696 even
     11482         82      39364       5741 even
     11582        113     250504       5791 even
     11662         51      39364       5831 even
     11680        100      11680       5840 even
     12028        157     250504       6014 even
     12076         69      13588       6038 even
     12148         64      12148       6074 even
     12197        126     250504      36592 odd
     12202        113      18304       6101 even
     12302        113      41524       6151 even
     12575        157     190996      37726 odd
     12634        126      18952       6317 even
     12850        126      21688       6425 even
     13031        108     250504      39094 odd
     13120         33      13120       6560 even
     13121         46      39364      39364 odd
     13211         77     150496      39634 odd
     13396         46      13396       6698 even
     13430        139      34000       6715 even
     13534        152     250504       6767 even
     13588         64      13588       6794 even
     13606         90      39364       6803 even
     13841        108      41524      41524 odd
     14092        108      15856       7046 even
     14110         59      71440       7055 even
     14308         77      14308       7154 even
     14455        134     250504      43366 odd
     14458        121      21688       7229 even
     14578        121      41524       7289 even
     14762         41      22144       7381 even
     14863         72     150496      44590 odd
     14902        165     190996       7451 even
     15064         90      15064       7532 even
     15110        134      34000       7555 even
